,Make,Model,Year,0
433,Audi,A3Sedan,2015,33888
434,Audi,A3Sedan,2015,33500
435,Audi,A3Sedan,2016,31000
436,Audi,A3Sedan,2016,30000
437,Audi,A3Sedan,2016,28000
438,Audi,A42.0T,2013,23990
439,Audi,A42.0T,2013,22995
440,Audi,A42.0T,2013,21991
441,Audi,A42.0T,2014,27499
442,Audi,A42.0T,2014,25999
443,Audi,A42.0T,2014,25900
444,Audi,A42.0T,2015,31988
445,Audi,A42.0T,2015,30995
446,Audi,A42.0T,2015,30294
447,Audi,A42.0T,2016,32707
448,Audi,A42.0T,2016,31990
449,Audi,A42.0T,2016,30995
450,Audi,A42.0T,2017,45320
451,Audi,A42004,2004,6991
452,Audi,A42004,2004,6988
453,Audi,A42004,2004,6500
454,Audi,A42004.5,2004,5700
455,Audi,A42005,2005,7990
456,Audi,A42005,2005,7500
457,Audi,A42005,2005,6499
458,Audi,A42005.5,2005,9500
459,Audi,A42005.5,2005,8999
460,Audi,A42005.5,2005,8988
461,Audi,A42007,2007,12500
462,Audi,A42007,2007,11888
463,Audi,A42007,2007,10499
464,Audi,A42007.5,2007,9988
465,Audi,A42007.5,2007,9495
466,Audi,A42007.5,2007,8990
467,Audi,A42dr,2003,5800
468,Audi,A42dr,2003,3850
469,Audi,A42dr,2006,7991
470,Audi,A42dr,2006,6999
471,Audi,A42dr,2008,11577
472,Audi,A42dr,2008,10950
473,Audi,A42dr,2008,8988
474,Audi,A42dr,2009,12992
475,Audi,A42dr,2009,12490
476,Audi,A42dr,2009,11998
477,Audi,A44dr,2001,4995
478,Audi,A44dr,2002,6977
479,Audi,A44dr,2002,6495
480,Audi,A44dr,2003,4444
481,Audi,A44dr,2003,4081
482,Audi,A44dr,2003,3000
483,Audi,A44dr,2006,8998
484,Audi,A44dr,2006,7581
485,Audi,A44dr,2006,5995
486,Audi,A44dr,2008,11400
487,Audi,A44dr,2008,10999
488,Audi,A44dr,2008,9997
489,Audi,A44dr,2009,13980
490,Audi,A44dr,2009,12995
491,Audi,A44dr,2009,12992
492,Audi,A44dr,2010,15995
493,Audi,A44dr,2010,14988
494,Audi,A44dr,2010,12999
495,Audi,A44dr,2011,20500
496,Audi,A44dr,2011,18999
497,Audi,A44dr,2011,16997
498,Audi,A44dr,2012,22610
499,Audi,A44dr,2012,21875
500,Audi,A44dr,2012,19995
501,Audi,A45dr,2006,6490
502,Audi,A45dr,2008,12448
503,Audi,A45dr,2008,11950
504,Audi,A45dr,2008,10499
505,Audi,A4Premium,2017,50530
506,Audi,A4Premium,2017,49715
507,Audi,A4Premium,2017,45050
508,Audi,A4Prestige,2017,43750
509,Audi,A4Prestige,2017,42500
510,Audi,A4Season,2017,37000
511,Audi,A4Season,2017,35000
512,Audi,A4ultra,2017,39175
513,Audi,A4ultra,2017,37650
514,Audi,A4ultra,2017,37250
515,Audi,A5,2017,34999
516,Audi,A5,2018,53100
517,Audi,A5,2018,53100
518,Audi,A5,2018,46800
519,Audi,A52.0T,2013,29344
520,Audi,A52.0T,2013,27900
521,Audi,A52.0T,2013,27000
522,Audi,A52.0T,2014,34995
523,Audi,A52.0T,2014,33995
524,Audi,A52.0T,2014,32990
525,Audi,A52.0T,2015,38699
526,Audi,A52.0T,2015,36750
527,Audi,A52.0T,2015,36000
528,Audi,A52.0T,2016,45999
529,Audi,A52.0T,2016,44387
530,Audi,A52.0T,2016,42999
531,Audi,A52dr,2008,13995
532,Audi,A52dr,2008,10464
533,Audi,A52dr,2009,17899
534,Audi,A52dr,2009,15999
535,Audi,A52dr,2009,13888
536,Audi,A52dr,2010,19995
537,Audi,A52dr,2010,19888
538,Audi,A52dr,2010,18950
539,Audi,A52dr,2011,21000
540,Audi,A52dr,2011,20836
541,Audi,A52dr,2011,18998
542,Audi,A52dr,2012,20525
543,Audi,A52dr,2012,19888
544,Audi,A52dr,2012,18995
545,Audi,A62.0T,2013,25991
546,Audi,A62.0T,2013,25969
547,Audi,A62.0T,2013,24991
548,Audi,A62.0T,2014,32900
549,Audi,A62.0T,2014,31991
550,Audi,A62.0T,2014,31495
551,Audi,A62.0T,2015,32990
552,Audi,A62.0T,2015,32000
553,Audi,A62.0T,2015,31992
554,Audi,A62.0T,2016,43950
555,Audi,A62.0T,2016,42000
556,Audi,A62.0T,2016,40000
557,Audi,A62.0T,2017,61635
558,Audi,A62.0T,2017,61635
559,Audi,A62.0T,2017,59355
560,Audi,A63.0T,2013,32999
561,Audi,A63.0T,2013,31991
562,Audi,A63.0T,2013,28995
563,Audi,A63.0T,2014,35750
564,Audi,A63.0T,2014,34595
565,Audi,A63.0T,2014,33991
566,Audi,A63.0T,2015,41750
567,Audi,A63.0T,2015,40450
568,Audi,A63.0T,2015,37495
569,Audi,A63.0T,2016,44588
570,Audi,A63.0T,2016,44447
571,Audi,A63.0T,2016,43991
572,Audi,A63.0T,2017,65935
573,Audi,A63.0T,2017,55500
574,Audi,A63.0T,2017,55493
575,Audi,A63.0TDI,2014,31995
576,Audi,A64dr,2002,8199
577,Audi,A64dr,2002,7900
578,Audi,A64dr,2002,3499
579,Audi,A64dr,2003,3985
580,Audi,A64dr,2004,4998
581,Audi,A64dr,2005,8495
582,Audi,A64dr,2005,7550
583,Audi,A64dr,2005,7499
584,Audi,A64dr,2006,11200
585,Audi,A64dr,2006,8888
586,Audi,A64dr,2006,6880
587,Audi,A64dr,2007,9995
588,Audi,A64dr,2007,7950
589,Audi,A64dr,2007,7829
590,Audi,A64dr,2008,13998
591,Audi,A64dr,2008,13997
592,Audi,A64dr,2008,13000
593,Audi,A64dr,2009,13995
594,Audi,A64dr,2009,13991
595,Audi,A64dr,2009,11875
596,Audi,A64dr,2010,18988
597,Audi,A64dr,2010,17700
598,Audi,A64dr,2010,15979
599,Audi,A64dr,2011,25500
600,Audi,A64dr,2011,19999
601,Audi,A64dr,2011,18950
602,Audi,A64dr,2012,23988
603,Audi,A64dr,2012,23799
604,Audi,A64dr,2012,22999
605,Audi,A6Premium,2018,54110
606,Audi,A73.0T,2013,38981
607,Audi,A73.0T,2013,36865
608,Audi,A73.0T,2013,36699
609,Audi,A73.0T,2014,45458
610,Audi,A73.0T,2014,42491
611,Audi,A73.0T,2014,41991
612,Audi,A73.0T,2015,47990
613,Audi,A73.0T,2015,47885
614,Audi,A73.0T,2015,46990
615,Audi,A73.0T,2016,59999
616,Audi,A73.0T,2016,58926
617,Audi,A73.0T,2016,57999
618,Audi,A74dr,2012,35998
619,Audi,A74dr,2012,34995
620,Audi,A74dr,2012,34995
621,Audi,A7Competition,2017,66977
622,Audi,A7Competition,2017,65320
623,Audi,A7Premium,2017,59473
624,Audi,A8,2004,9777
625,Audi,A8,2004,8998
626,Audi,A8,2004,7226
627,Audi,A8,2005,12995
628,Audi,A8,2005,5988
629,Audi,A8,2005,5950
630,Audi,A8,2006,14988
631,Audi,A8,2007,15499
632,Audi,A8,2007,10999
633,Audi,A8,2010,21998
634,Audi,A8,2010,21488
635,Audi,A8,2010,10900
636,Audi,A8,2011,31000
637,Audi,A8,2011,29988
638,Audi,A8,2011,28988
639,Audi,A8,2012,44987
640,Audi,A8,2012,33601
641,Audi,A8,2012,32897
642,Audi,A8,2013,39998
643,Audi,A8,2013,35988
644,Audi,A8,2013,35396
645,Audi,A8,2014,42994
646,Audi,A8,2014,41994
647,Audi,A8,2014,41888
648,Audi,A8,2015,56750
649,Audi,A8,2015,51900
650,Audi,A8,2015,50995
651,Audi,A8,2016,55777
652,Audi,A8,2016,48999
653,Audi,A8,2016,47999
654,Audi,A8,2017,72997
655,Audi,A8,2017,69988
656,Audi,A8,2017,69988
657,Audi,A83.0T,2013,31978
658,Audi,A83.0T,2013,27979
659,Audi,A83.0T,2013,25997
660,Audi,A83.0T,2014,40977
661,Audi,A83.0T,2014,38976
662,Audi,A83.0T,2014,31987
663,Audi,A83.0T,2015,49995
664,Audi,A83.0T,2015,43991
665,Audi,A84.0T,2015,56995
666,Audi,A84.0T,2015,47988
667,Audi,A84dr,2005,4988
668,Audi,A84dr,2006,11885
669,Audi,A84dr,2007,6577
670,Audi,A84dr,2009,16000
671,Audi,A84dr,2011,26990
672,Audi,Q3FrontTrak,2015,29950
673,Audi,Q3FrontTrak,2015,28977
